date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:19	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Mar%202024%2012:32:18%20GMT	https://accounts.google.com/v3/signin/Edg/	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/Edg/index.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:19	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Mar%202024%2012:32:18%20GMT	https://accounts.google.com/v3/signin/	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/index.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:19	365/365	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:18%20GMT	https://accounts.google.com/	C:/Mis%20lugares%20Web/gmail/accounts.google.com/index.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:19	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2016%20Mar%202024%2012:32:18%20GMT	https://accounts.google.com/lifecycle/flows/signup?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=SignUp&flowName=GlifWebSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA	C:/Mis%20lugares%20Web/gmail/accounts.google.com/lifecycle/flows/signup.9342c.delayed	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:20	634260/634260	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:19%20GMT	https://accounts.google.com/lifecycle/steps/signup/name?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=SignUp&flowName=GlifWebSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&TL=ADg0xR0q5W0Z7UeuWlreeE7s0VCswZQi5tTC1hvgCzc3MiKGFHKZV_8TODdjhjeF	C:/Mis%20lugares%20Web/gmail/accounts.google.com/lifecycle/steps/signup/name6e41.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:20	260/260	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:20%20GMT	https://accounts.google.com/TOS?loc=DE&hl=es&privacy=true	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.bffa0.delayed	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:21	258/258	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:20%20GMT	https://accounts.google.com/TOS?loc=DE&hl=es	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.c8cb2.delayed	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:21	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Mar%202024%2012:32:21%20GMT	https://accounts.google.com/v3/signin/document.location.toString(	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/document.location.d.delayed	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.es%2F&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811913617%3A1710592335935816)
13:32:22	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Mar%202024%2012:32:21%20GMT	https://accounts.google.com/v3/signin/rejected	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/rejected.e.delayed	(from https://accounts.google.com/v3/signin/rejected?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&rhlk=js&rrk=47)
13:32:22	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=DE&hl=es&privacy=true	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.fffa0.delayed	(from https://accounts.google.com/v3/signin/rejected?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&rhlk=js&rrk=47)
13:32:22	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=DE&hl=es	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.108cb2.delayed	(from https://accounts.google.com/v3/signin/rejected?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&rhlk=js&rrk=47)
13:32:22	626/626	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/accounts/ui/avatar_2x.png	C:/Mis%20lugares%20Web/gmail/ssl.gstatic.com/accounts/ui/avatar_2x.png	(from https://accounts.google.com/signin/usernamerecovery?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA)
13:32:22	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=DE&hl=es&privacy=true	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.12ffa0.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA)
13:32:22	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=DE&hl=es	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.138cb2.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA)
13:32:23	199/199	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	C:/Mis%20lugares%20Web/gmail/ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	(from https://accounts.google.com/signin/usernamerecovery?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=ServiceLogin&flowName=WebLiteSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA)
13:32:23	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2016%20Mar%202024%2012:32:23%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600%26continue=https%3A%2F%2Faccounts.google.com%2F%26followup=https%3A%2F%2Faccounts.google.com%2F	C:/Mis%20lugares%20Web/gmail/accounts.google.com/ServiceLogin.15fca2.delayed	(from https://accounts.google.com/)
13:32:24	555/555	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:23%20GMT	https://accounts.google.com/InteractiveLogin?passive=1209600%26continue%3Dhttps://accounts.google.com/%26followup%3Dhttps://accounts.google.com/&ifkv=ATuJsjwfg76u_eMG2rALzHC4eVOrDYnozJLtI-drLr4758VZbzLgJFmfqSycP7fMbw8acRy19QTe	C:/Mis%20lugares%20Web/gmail/accounts.google.com/InteractiveLogin.16c72c.delayed	(from https://accounts.google.com/)
13:32:24	171495/171495	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:24%20GMT	https://accounts.google.com/v3/signin/identifier?ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&passive=1209600%26continue%3Dhttps%3A%2F%2Faccounts.google.com%2F%26followup%3Dhttps%3A%2F%2Faccounts.google.com%2F&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1828565475%3A1710592343656810	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/identifier9508.html	(from https://accounts.google.com/)
13:32:25	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2016%20Mar%202024%2012:32:24%20GMT	https://accounts.google.com/lifecycle/steps/signup/name	C:/Mis%20lugares%20Web/gmail/accounts.google.com/lifecycle/steps/signup/name.18.delayed	(from https://accounts.google.com/lifecycle/steps/signup/name?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=SignUp&flowName=GlifWebSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&TL=ADg0xR0q5W0Z7UeuWlreeE7s0VCswZQi5tTC1hvgCzc3MiKGFHKZV_8TODdjhjeF)
13:32:25	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Mar%202024%2012:32:24%20GMT	https://accounts.google.com/lifecycle/steps/signup/unknownerror	C:/Mis%20lugares%20Web/gmail/accounts.google.com/lifecycle/steps/signup/unknownerror.19.delayed	(from https://accounts.google.com/lifecycle/steps/signup/name?continue=https://www.google.es/&dsh=S-1811913617:1710592335935816&flowEntry=SignUp&flowName=GlifWebSignIn&hl=es&ifkv=ATuJsjxydKTOpe2HEbQuB5_pknvlHthnHNUFzVa7GIGImqfSTxD2VZR_6ntGH9DrZaVS9dkj6jaKTA&TL=ADg0xR0q5W0Z7UeuWlreeE7s0VCswZQi5tTC1hvgCzc3MiKGFHKZV_8TODdjhjeF)
13:32:26	52548/52548	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:26%20GMT	https://accounts.google.com/v3/signin/rejected?dsh=S-1828565475:1710592343656810&flowEntry=ServiceLogin&flowName=WebLiteSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&rhlk=js&rrk=47	C:/Mis%20lugares%20Web/gmail/accounts.google.com/v3/signin/rejected87ec.html	(from https://accounts.google.com/v3/signin/identifier?ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&passive=1209600%26continue%3Dhttps%3A%2F%2Faccounts.google.com%2F%26followup%3Dhttps%3A%2F%2Faccounts.google.com%2F&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1828565475%3A1710592343656810)
13:32:27	94578/94578	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:26%20GMT	https://accounts.google.com/signin/usernamerecovery?dsh=S-1828565475:1710592343656810&flowEntry=ServiceLogin&flowName=WebLiteSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA	C:/Mis%20lugares%20Web/gmail/accounts.google.com/signin/usernamerecovery5abb.html	(from https://accounts.google.com/v3/signin/identifier?ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&passive=1209600%26continue%3Dhttps%3A%2F%2Faccounts.google.com%2F%26followup%3Dhttps%3A%2F%2Faccounts.google.com%2F&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1828565475%3A1710592343656810)
13:32:27	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2016%20Mar%202024%2012:32:26%20GMT	https://accounts.google.com/lifecycle/flows/signup?dsh=S-1828565475:1710592343656810&flowEntry=SignUp&flowName=GlifWebSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA	C:/Mis%20lugares%20Web/gmail/accounts.google.com/lifecycle/flows/signup.1cf42c.delayed	(from https://accounts.google.com/v3/signin/identifier?ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&passive=1209600%26continue%3Dhttps%3A%2F%2Faccounts.google.com%2F%26followup%3Dhttps%3A%2F%2Faccounts.google.com%2F&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1828565475%3A1710592343656810)
13:32:28	634125/634125	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2012:32:27%20GMT	https://accounts.google.com/lifecycle/steps/signup/name?dsh=S-1828565475:1710592343656810&flowEntry=SignUp&flowName=GlifWebSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&TL=ADg0xR0Jl6ENWrKkWOzF3lsm3bPtOmv2ps2f0bsKh2TNUIprEDo6JZ3Z4hEZOf50	C:/Mis%20lugares%20Web/gmail/accounts.google.com/lifecycle/steps/signup/name0ff8.html	(from https://accounts.google.com/v3/signin/identifier?ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&passive=1209600%26continue%3Dhttps%3A%2F%2Faccounts.google.com%2F%26followup%3Dhttps%3A%2F%2Faccounts.google.com%2F&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1828565475%3A1710592343656810)
13:32:28	263/263	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:27%20GMT	https://accounts.google.com/TOS?loc=DE&hl=en-US&privacy=true	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.1e408c.delayed	(from https://accounts.google.com/v3/signin/identifier?ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&passive=1209600%26continue%3Dhttps%3A%2F%2Faccounts.google.com%2F%26followup%3Dhttps%3A%2F%2Faccounts.google.com%2F&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1828565475%3A1710592343656810)
13:32:29	261/261	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:28%20GMT	https://accounts.google.com/TOS?loc=DE&hl=en-US	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.1f5992.delayed	(from https://accounts.google.com/v3/signin/identifier?ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&passive=1209600%26continue%3Dhttps%3A%2F%2Faccounts.google.com%2F%26followup%3Dhttps%3A%2F%2Faccounts.google.com%2F&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1828565475%3A1710592343656810)
13:32:29	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=DE&hl=en-US&privacy=true	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.20408c.delayed	(from https://accounts.google.com/v3/signin/rejected?dsh=S-1828565475:1710592343656810&flowEntry=ServiceLogin&flowName=WebLiteSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&rhlk=js&rrk=47)
13:32:29	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=DE&hl=en-US	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.215992.delayed	(from https://accounts.google.com/v3/signin/rejected?dsh=S-1828565475:1710592343656810&flowEntry=ServiceLogin&flowName=WebLiteSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA&rhlk=js&rrk=47)
13:32:29	260/260	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:29%20GMT	https://accounts.google.com/TOS?loc=DE&hl=de&privacy=true	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.229ebe.delayed	(from https://accounts.google.com/signin/usernamerecovery?dsh=S-1828565475:1710592343656810&flowEntry=ServiceLogin&flowName=WebLiteSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA)
13:32:30	258/258	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2016%20Mar%202024%2012:32:29%20GMT	https://accounts.google.com/TOS?loc=DE&hl=de	C:/Mis%20lugares%20Web/gmail/accounts.google.com/TOS.23e540.delayed	(from https://accounts.google.com/signin/usernamerecovery?dsh=S-1828565475:1710592343656810&flowEntry=ServiceLogin&flowName=WebLiteSignIn&ifkv=ATuJsjwq2vWnHANgP5LwF2dMrsRxHUECIROop0w5qJu4SfRqct1MLPiT0NZ2179m7Gcae-DpJ0e1FA)
